Username,Retweets,Text,Mentions,Hashtags
,1,Bloomberg = Rigged Money is his only game. https://twitter.com/UmJennah9/status/1223394320805507074 …,,
,5,WOW! Democrats Change Rules to Allow Bloomberg on Stage for Debates -- But Blocked Booker and Castro with Same Rule... Sounds Racist! https://www.thegatewaypundit.com/2020/01/wow-democrats-change-rules-to-allow-bloomberg-on-stage-for-debates-but-blocked-booker-and-castro-with-same-rule-sounds-racist/ … via @ gatewaypundit,@,
,0,The Coronavirus Is Infecting the Global Economy. Here’s How. — Bloomberg http://ow.ly/ytiT30qe3Bx,,
,15,And you changed the rules for BLOOMBERG! GTFOH,,
,0,"Case of 5, E, 4, B all mixed together with a shit load of creatine and splash of juice",,
,0,"Mike ""The Great Gentrifier"" Bloomberg. He'll solve the healthcare crisis by making America so expensive you have to move to Mexico. Problem solved https://twitter.com/chamberhands/status/1223393527683584000 …",,
,0,"Right, but my point is, why are you just now adjusting the rules? What does that say about how the party spent a year+ emphasizing the importance of donor numbers? It's sending a clear message that Bloomberg's money is far more important than grassroots money.",,
,0,This is why Bloomberg will never get my vote. https://twitter.com/ewarren/status/1223389175468249088 …,,
,0,I welcome Bloomberg on the stage. Bernie will DESTROY him on stop and frisk.,,
,0,"I'm appalled by today's vote! As a conservative-leaning Independent, I want to learn more about Michael Bloomberg as an alternative to Trump. I don't want to vote for a DEM, but there's no way in hell I'm going to vote to re-elect that lying, deceitful, obstructive demagogue.",,
,0,"Mike Bloomberg telling lies on television. Throwing mud at President Trump, how low will Mike Bloomberg go.",,
,0,Thank God for @ Mike2020 Bloomberg’s Unbelievable generosity to help save our Democracy from Trump,@,
,0,Bloomberg to the debates because billionaires don’t play by the same rules as everyone else.,,
,0,"this doesn't answer my question -- the move is annoying and i disagree with it, but like... it's not corrupt? or a move for special interests? lol what special interest group is lobbying the DNC for bloomberg to be included other than bloomberg's campaign?",,
,0,apparently tom perez said the rules aren’t changing. changing the debate qualifications to let bloomberg buy the election is still disgusting though. why couldn’t they change the rules for castro and booker?,,
,0,bet it'll involve Bloomberg,,
,2,Maybe it will be good to have Bloomberg at the debate because people will see how short he is,,
,0,Bloomberg is running as the great defender of corporate harm.,,
,3,"Since it's clear none of the candidates on stage 'til now can beat 45, they change the rules to allow Bloomberg to buy his way in. Next it'll be HRC at the last minute too. Won't Bernie be happy!! Another check & a 4th house. Dems smack of desperation. What else have they got?",,
,0,I am purchasing a new M1A SOCOM to celebrate Bloomberg pissing his money away! @ Springfield_Inc,@,
,0,Then what is up with Bloomberg? https://twitter.com/TomPerez/status/1223386600555646979 …,,
,0,"Hello, I just read that 2020 Dem Pres Candidate Bloomberg due to DNC Rules may qualify to participate in the upcoming TV Debate in Nevada? He can finance his own $100 Million National Campaign & on ""Super Tuesday"" can impact who the Nominee ends up being!!",,
,0,WOW! Democrats Change Rules to Allow Bloomberg on Stage for Debates -- But Blocked Booker and Castro with Same Rule... Sounds Racist! https://www.thegatewaypundit.com/2020/01/wow-democrats-change-rules-to-allow-bloomberg-on-stage-for-debates-but-blocked-booker-and-castro-with-same-rule-sounds-racist/ … via @ gatewaypundit,@,
,0,Trump is small change compared to Democrats # Bloomberg # TulsiGabbardhttps://www.politico.com/news/2020/01/31/dnc-shifts-debate-requirements-opening-door-for-bloomberg-110017 …,,# #
,0,DNC changed rules to allow Bloomberg to make the debate even though he doesn't have the donors,,
,0,"That should be good. Bloomberg & Klobuchar are on the top of my list now. DNC Shifts Debate Qualifications, In A Boost For Michael Bloomberg https://www.huffpost.com/entry/michael-bloomberg-dnc-debate_n_5e348b0ac5b69a19a4aefca6 …",,
,0,"Well that will be Bloomberg, DNC has chosen the nominee as of today.",,
,0,"@ realDonaldTrump Hello today sir, I think the only one that might give you some problems in the election is Mike Bloomberg. But, us black people that don't live in New York don't know him. We know you!",@,
,0,# bloomberg buying something here? https://twitter.com/lazyditzychick/status/1223390543427907589 …,,#
,0,Did you not just allow Bloomberg to buy his way into this process. You and your goons dont have a shred of integrity. # DNCSoldUsOuthttps://twitter.com/TomPerez/status/1223386600555646979 …,,#
,0,"Michael Douglas apparently endorsed Michael Bloomberg, which I just learned from a radio ad. ¯\_(ツ)_/¯",,
,1,Movin' on Up: Bloomberg Glides Past Warren to No.3 in Democratic Race-Reuters/Ipsos - The New York Times https://www.nytimes.com/reuters/2020/01/31/us/politics/30reuters-usa-election-democrats-poll.html …,,
,1,My spirit just can't take how ugly people are being about other people's candidates. I'm thankful Bloomberg is putting all this money in ads that help everyone running against 45. I'm that nerd that still believes kindness is a super power. We're all in this fight together!,,
,0,Didn’t you guys literally announce today that you had changed the rules to get Bloomberg in? After complaining about billionaires buying elections? And then bragging about a return to grassroots?,,
,0,Can you say that Bloomberg will not be allowed to participate if he does not meet those qualifications?,,
,0,Changing debate qualification rules to accomodate Bloomberg and reintroducing superdelegates to the first ballot are extremely on brand for the DNC,,
,0,"They won't do it be even they know it would backfire. They will do things like it, starting with changing rules to put Bloomberg on the debate stage. If super-delegates countermand a plurality on the second ballot of the convention, the plurality might walk.",,
,0,Bloomberg e Michelle,,
,0,Can we Kamala back? Fuck Bloomberg. https://twitter.com/MSNBC/status/1223339027685875712 …,,
,0,Bloomberg abouta buy this election smh,,
,5,What is Bloomberg doing at the debate?,,
,0,I watched the @ benshapiro show on YouTube today and was interrupted 8 times by Bloomberg ads. This experience alone has convinced me to become a @ realDailyWire subscriber.,@ @,
,0,Bloomberg entering the debate stage is a blessing in disguise for Bernie Sanders. Lol. # BernieSanders2020,,#
,0,Bloomberg is friends with that rich lala in costa del sol and lolorito. He used those ties to get on the syndicate in ul dah,,
,0,"Bloomberg is? You know he won his Mayorship of NYC by running as a Republican, right?",,
,0,"Honestly I knew this was gonna happen and it’s why I insisted on Warren because I knew the establishment wasn’t *crazy* about her, but they would be more willing to pull strings on her behalf to push out Howard Schultz or Bloomberg. They will not do it for Sanders. https://twitter.com/EmmaVigeland/status/1223368068644118528 …",,
,0,They are protesting cops. Did AOC invite them or was it Bloomberg? https://twitter.com/kandibar2011/status/1223392087619645440 …,,
,0,Michael Bloomberg Has Spent $38 Every Second of His Campaign https://www.thedailybeast.com/michael-bloomberg-has-spent-dollar38-every-second-of-his-campaign?source=twitter&via=desktop … via @ thedailybeast | Every cent is an affront to democracy.,@,
,0,"Which is why you just changed the rules for Bloomberg, right?",,
,0,"Sanders and Bloomberg have very little cross over. IMO, if anything this hurts Biden and Pete the most. https://twitter.com/EmmaVigeland/status/1223368068644118528 …",,
,0,Gabbard has an net worth of 500K cause she never took bribes and was serving in the armed forces unlike the Lib-tard Bloomberg.,,
,0,"‘Definition of a Rigged System,’ Says Sanders Campaign After DNC Changes Debate Rules for Billionaire Latecomer Mike Bloomberg # auspol # USpoli ‘everybody knows the game is rigged’https://www.commondreams.org/news/2020/01/31/definition-rigged-system-says-sanders-campaign-after-dnc-changes-debate-rules?cd-origin=rss&utm_term=AO&utm_campaign=Daily%20Newsletter&utm_content=email&utm_source=Daily%20Newsletter&utm_medium=Email …",,# #
,0,I'm thinking Bloomberg/Klobuchar is the winning ticket. We can't take a chance.,,
,0,Biden or Bloomberg can beat corrupt Trump.,,
,0,They see Biden slipping and are now trying to prop up Bloomberg to stop Bernie.,,
,2,"Bloomberg after donating $325,000 to the DNC right before entering the race https://twitter.com/thehill/status/1223333916599357440 …pic.twitter.com/Y5xbepYpSx",,
,0,I think that Bloomberg employees shouldn't be allowed to comment on politics at all.,,
,0,Why is Bloomberg allowed to run as a Democrat? He was a Republican mayor for god’s sake!!!,,
,0,"# ResignTomPerez you are lying, you just changed the rules for Bloomberg",,#
,0,If Bloomberg drop out this won't be an issue. Do not changed the rules now! Force Blomberg to drop out. https://twitter.com/davidsiders/status/1223374897981857800 …,,
,2,"Can Mike Bloomberg just fuck off, please.",,
,1,If Bloomberg somehow wins the primary I will spend the rest of 2020 screaming on a street corner about the end of days.,,
,1,Are you surprised at how well Bloomberg is doing?,,
,1,"How exactly is letting Bloomberg in the debate ""grassroots""?",,
,0,Didn't you just change the rules so Bloomberg could participate even though he has roughly 6 supporters? This is why you should donate to individual candidates.,,
,0,"Good word, used by Bloomberg in his add: Demagogue. Truly. pic.twitter.com/gk9z1BzUmz",,
,1,I think Bloomberg's donation of $106.5 million to the DNC kinda has something to do with the change of mind.,,
,1,"who isn’t running around with hats that say math on them, or tried to justify blood quantum with DNA phrenology, or isn’t currently sundowning, or bloomberg",,
,0,I think I heard @ realDonaldTrump call Mike Bloomberg mini Mike,@,
,0,"If it means electing you or Mike Bloomberg, I go with the billionaire. You haven’t demonstrated an ability to create consensus. You torpedo any compromise which would just prolong our country’s divisiveness. Don’t you have better things to focus your attention on?",,
,0,This is the misogynistic Dems trying to drive Warren and Klobuchar from the race..... DNC Opens Up Nevada Democratic Debate Stage For Mike Bloomberg https://thefederalist.com/2020/01/31/dnc-opens-up-nevada-democratic-debate-stage-for-mike-bloomberg/#.XjS-TZK9D1M.twitter …,,#
,0,Your party is racist. Billionaire Bloomberg just bought his way in. You and Cory should borrow some money from him. Yours is the party of Billionaires. How is Tom Steyer on a debate stage. He is a billionaire.,,
,0,and Bloomberg addressed the 2004 Repub Convention as a Republican,,
,0,I'd prefer to force Bloomberg to stop hiding behind his like of money and get beat up by the rest of field - but changing the rules is unfair to every candidate who had to abide by them this whole time.,,
,3,Bloomberg is a Republican. The DNC has lost its mind. They would rather throw the election than give Bernie a fair shot. Bernie will win the nomination anyway and we'll have an accountable DNC in less than six months https://twitter.com/politico/status/1223325410261377031 …,,
,0,I tagged Tom Perez on this fuckery and he just tweeted a few minutes ago that he’s not changing the rules. But he just allowed Bloomberg to be on the debates. Can’t trust him at all.,,
,0,"The fact that Bloomberg was able to buy his way onto the debate stage proves that their concerns that ""Bernie isn't a real Democrat"" is partisan virtue signaling.",,
,0,D.N.C. Rules Change for Nevada Debate Could Open Door for Bloomberg https://www.nytimes.com/2020/01/31/us/politics/dnc-democratic-debate-rules.html …,,
,44,BMW postpones work on a new Mini and blames Brexithttps://trib.al/Va1wVSc,,
,0,Bernie and Biden are done. The DNC choose Bloomberg,,
,0,how does this make them corrupt though? i hate bloomberg and don't agree with the move but what does this have anything to do w/ corruption or special interests etc. people were calling for the DNC to bend the rules to let candidates on stage prior to this lol,,
,0,"So not only are they putting Bloomberg on the stage, they’re allowing 2016 convention all over again and throwing away the unity reform commission’s work?! Are you fucking serious?!?! https://twitter.com/politico/status/1223374201786109952 …",,
,0,# Billionaire # Bloomberg is # StopBernie so we do not have to # Change # RuleOfLaw # JimCrow 1915 # ElPaso # food # Cannabis became # Marijuana to sell more # Pharmaceuticals # Repeal # Prohibition of Food # AmericaFirst ~ In # TEXAS # VotingForBernie # Bernie2020 # Threadhttps://twitter.com/AnnieGrayerCNN/status/1223337792815665153 …,,# # # # # # # # # # # # # # # # # #
,0,Mike Bloomberg Gave the DNC $300K Two Days Before He Entered the 2020 Race And now the DNC is changing its rules in a way very favorable to ... Mike Bloomberg. https://www.vice.com/en_us/article/z3bmjx/mike-bloomberg-gave-the-dnc-dollar300000-two-days-before-he-entered-the-race?utm_campaign=sharebutton … via @ vice,@,
,0,Thank God for @ Mike2020 Bloomberg’s Unbelievable generosity to help save our Democracy from Trump. I'm moving on because Impeachment writing is on the wall. Delaney ended his bid for presidency.,@,
,0,Bloomberg is the Democrats insurance policy against Bernie. Has anyone noticed the policy change. They are always screwing their own over. They are never going to give it to Bernie. They aren’t that stupid. Sounds like Election interference to me.,,
,3,Democrats don't need no stinking rules. (Did Bloomberg hand out checks to get in? Follow the cash flow.) @ realDonaldTrump @ TuckerCarlson @ seanhannity @ SaraCarterDC @ TomFitton @ IngrahamAngle @ JudgeJeaninehttps://twitter.com/pittman_george/status/1223379164490870785 …,@ @ @ @ @ @ @,
,0,bloomberg is a joke and so is the dnc,,
,0,New Democratic Party Rules Could Put Bloomberg On Debate Stage http://bit.ly/37NTmVc pic.twitter.com/fRXdBfo0pN,,
,0,Bloomberg's elderly constipated liberal spew is tired and insulting. https://twitter.com/myhlee/status/1223394155746988037 …,,
,0,"@ DNC I really have a problem with bloomberg, and I am tired of all white males, just saying.",@,
,0,"I dont understand the democrats' contempt for # bloomberg .deep down we all are miserable wretches except Jesus , but dems pretend that # bernie and # warren have a jesus quality and # bloomberg is the wretch for being self made rich",,# # # #
,0,More tweets that will haunt me when I run for office. By changing the rules for Bloomberg the DNC is going full mask off against their base. The Democratic party is corrupt and weak. It needs to be taken over or destroyed. I don't care which.,,
,0,you're ignoring literally all of the context. The DNC wants candidates vetted. They worry about Bloomberg buying the nom without being vetted,,
,0,@ CNNPolitics A strong majority ofAmerican voters clearly wanted the Senate to allow material witnesses to testify under oath. The @ GOP just kicked down the door blocking Michael Bloomberg’s path to win the White House & Senate control in 2020. Suicidal Republican 2020 strategy.,@ @,
,0,Bloomberg builds its own servers. Does that not fit the category of hardware software integration?,,
,0,"What in God's name do you read? What are your sources? Investment has plummeted. Bloomberg economists predict we've lost £130 billion in investment since we had the referendum. Like seriously, what the fuck are you reading?",,
,0,"You will not change your rules? Lmao, you just changed it today to get Bloomberg on the stage....",,
,0,The DNC was broke and bleeding money when Bloomberg suddenly decided to run and self-finance. The reason for the latter was obvious to anyone aware of the former.,,
,0,"You changed the rules for Bloomberg to join! Absolutely disgusting. The @ DNC is morally bankrupt under your leadership, you must resign!",@,
,0,Well that's the thing that's where their jobs were or are most of them are in the service industry and with service industry jobs being automated out they are in a tough spot. That's why education and retraining is important not just college but trade school as well.,,
,0,"I mean none of them made the polling thresholds either. ironically, Bloomberg hasn’t met the polling threshold and likely won’t either.",,
,0,didn’t you change the debate rules for Bloomberg like this morning?,,
,0,WOW! Democrats Change Rules to Allow Bloomberg on Stage for Debates -- But Blocked Booker and Castro with Same Rule... Sounds Racist! https://www.thegatewaypundit.com/2020/01/wow-democrats-change-rules-to-allow-bloomberg-on-stage-for-debates-but-blocked-booker-and-castro-with-same-rule-sounds-racist/ … via @ gatewaypundit,@,
,0,"There's no ask really. Bloomberg is getting traction because he can pay for it. But the problem is that Candidates of color had asked the DNC to change the debate requirements, and the DNC refused, and this pushed very important voices out of the race.",,
,0,NFL bans pro 2A ad but Approves Michael Bloomberg's $10 Million Super Bo... https://youtu.be/TEOe_-zmwYc via @ YouTube,@,
,0,Bloomberg has that in change in what I assume is a hideous white leather couch,,
,0,Yeah but what if like Bloomberg writes you a check for 2 million dollars then we can change the rules like we did with the debates right?,,
,0,"Hey guys the DNC changed the rules for the debate Bloomberg's in Why ? When Mr. Yang asked he was ignored . Somebody tell me why ,please ! I'm thinking corruption",,
,1,WOW! Democrats Change Rules to Allow Bloomberg on Stage for Debates -- But Blocked Booker and Castro with Same Rule... Sounds Racist! https://www.thegatewaypundit.com/2020/01/wow-democrats-change-rules-to-allow-bloomberg-on-stage-for-debates-but-blocked-booker-and-castro-with-same-rule-sounds-racist/ … via @ gatewaypundit,@,
,0,Well maybe Bloomberg can use his money to buy us one,,
,0,"Bloomberg, Steyer, and even Trump shouldn’t even be allowed to fund their own campaigns. Somehow an individual can only donate $2700 to another candidate but these folks can donate unlimited sums of money to themselves! FEC should look into the legality of that!",,
,0,Bloomberg. The man's straightforwardly a class enemy.,,
,0,WOW! Democrats Change Rules to Allow Bloomberg on Stage for Debates -- But Blocked Booker and Castro with Same Rule... Sounds Racist! https://www.thegatewaypundit.com/2020/01/wow-democrats-change-rules-to-allow-bloomberg-on-stage-for-debates-but-blocked-booker-and-castro-with-same-rule-sounds-racist/ … via @ gatewaypundit,@,
,9,"New rules for debate qualification unveiled by the DNC could lead to billionaire Michael Bloomberg, who is self-funding his presidential campaign, making his first debate appearance. https://trib.al/FCMNMY6",,
,0,I am where I am today because: My after school job in HS figured the kid in the warehouse could handle babysitting the new system while tech support dialed in. My brother met a guy in a bar who was hiring field techs. They needed to put a warm body at Bloomberg for 3rd shift.,,
,0,Steyer bought better polls by spending millions on ads in early states. Bloomberg just bought off the Democratic party. pic.twitter.com/34lNQma36W,,
,1,i cant see bloomberg running with anybody else except biden https://twitter.com/GodSon83/status/1223393117522616320 …,,
,0,VA gun safety advocates endorse Mike Bloomberg in new ads https://www.wfxrtv.com/news/local-news/va-gun-safety-advocates-endorse-mike-bloomberg-in-new-ads/?utm_medium=social&utm_source=twitter_WFXRnews …,,
,0,"I agree, Bloomberg in the debate helps Sanders rigjt now, but that is not their intention.",,
,0,Bloomberg(ブルームバーグ）に掲載されました！～笑顔でつなごう！～ http://egao-singlemama.com/blog/?p=550 # シングルマザー # ひとり親 # 子育て # 日本シングルマザー協会 # Bloomberg # japantimes,,# # # # # #
,0,"I don’t like Perez, but I would like to see how Bloomberg does in a debate.",,
,0,Just saw my first Mike Bloomberg ad. Yet to see a Tim Steyer ad.,,
,0,What a joke,,
,0,"Oh yeah, zero downtime is the best for a dancer comp. feels great. I don’t understand what it has to do with Bloomberg tho ? Maybe a new skill?",,
,0,"No. The point is AMAZON OWES NO TAXES BECAUSE OF THE TAX BREAKS THE REPUBLICAN CONGRESS GAVE BEZOS AND IT. YOU pay Bezos and Amazon's share of taxes. They might even get REFUNDS from you! Meanwhile, Bezos buys new yachts and private islands while YOU and ME pay the bills.",,
,0,"In 2016, the DNC tried to give Hilary, but I wouldn’t say they rigged the process. This time around.. they’re absolutely rigging the process to give Bloomberg a chance. Good lord.",,
,182,Michael Bloomberg bribed @ NYCCouncil to let him exceed term limits and run a third time. @ MikeBloomberg has now bribed the @ DNC to let him debate. He implemented racist police policies as mayor. He’s inherently undemocratic. He’s a billionaire. Don’t fall for it.,@ @ @,
,0,"DNC overhauls debate requirements, opening door for Bloomberg http://ow.ly/7fC730qe3vW",,
,0,"I knew Bloomberg was spening alot of his own money, but DAMN 200 million dollars!!!! U.S. candidate Bloomberg spent $200 million of own wealth on presidential bid in 2019 https://reut.rs/2Uat23P",,
,1,Sanders Disgusted by DNC Debate Requirements Benefiting Bloomberg https://www.breitbart.com/politics/2020/01/31/sanders-campaign-disgusted-by-revamped-dnc-debate-requirements-benefiting-bloomberg/ …,,
,0,Bloomberg Live found one of the few people more presently despised than mike himself,,
,0,"Since that wasn't afforded to us, changing the rules now is compounding the injustice. We all have the means to hear from Bloomberg without changing the rules late in the game.",,
,0,It's good news for the rest of the field too. Bloomberg is going to have to prove he is more than deep pockets.,,
,0,I was answering a comment about Bloomberg’s ability to debate. But you seemed to have jumped to a conclusion. Read better.,,
,0,Vote Bloomberg. Trump is a horrible president and person. He will tear down anyone who is a threat to him. But it will be interesting to see him go against Bloomberg.,,
,0,Unpopular opinion: its good that Bloomberg is using his wealth to surge in the polls because he siphons supporters away from Biden and because it reinforces the fact that there is a corrupt Democratic Establishment that is curable only with progressivism/Sanders,,
,0,we can check on this in a few months i guess but bloomberg giving biden a haircut and maybe even keeping him under the viability threshold in some states seems like a a distinct possibility. which is… pretty good imo?,,
,0,He was polling at 1% lol. No one wanted you or him to be president. Bloomberg is a legit candidate who just isn't taking donations.,,
,2,Bloomberg’s self-funded campaign on track to outpace the combined money raised by his rivals in last quarter of 2019: https://www.washingtonpost.com/politics/iowa-caucuses-2020-latest-updates/2020/01/31/a9ba59f6-439e-11ea-b5fc-eefa848cde99_story.html?itid=hp_hp-top-table-main_iowaflipper-930a%3Ahomepage%2Fstory-ans …,,
,0,"Parkland survivor featured in Bloomberg campaign ad in Florida The Hill | January 31, 2020 https://thehill.com/homenews/campaign/480973-parkland-survivor-featured-in-bloomberg-campaign-ad-in-florida … # news",,#
,1,"Let Bloomberg on the stage, I want to see him crumple under pressure. # YangMoneyBomb because of people like Bloomberg making @ TheDemocrats dance for them.https://twitter.com/politico/status/1223325410261377031 …",@,#
,0,@ SenateGOP when November gets here how much more info do you think we will know? How many more Bloomberg ads telling the real truth will you have to explain to your voters? Shame on you.,@,
,0,Why don't they break into Bloomberg's and request free room and board. That would be a much better option.,,
,1,# YANGMONEYBOMB we don't need all of Bloomberg's money we just need dedicated Americans who can donate $5,,#
,0,The @ DNC and the @ gop are the same. They care about the power of their institution. Couldn’t care less about working folk. They really want Bloomberg and Trump against each other,@ @,
,0,Michael Bloomberg out here paying off the DNC debt.,,
,0,"Yeah, well if that is what Dems want they need to get the # DNC to back off trying to rig the nomination again. This Bloomberg debate exception is crap!",,#
,0,"Let me reiterate: He is not a surrogate nor does he work with the campaign. ""Adam Green, of the Progressive Change Campaign Committee, said he approached the DNC last month to talk about including Bloomberg in future debates."" He represents a PAC and does not speak for Warren.",,
,0,The alternative would be for Bloomberg to never be questioned on stop and frisk and instead cover the airwaves unanswered.,,
,0,"Democrats desperate for unsenile, plausible candidate, move goalposts to dispose of nobodies. WOW! Democrats Change Rules to Allow Bloomberg on Stage for Debates -- But Blocked Booker and Castro with Same Rule... Sounds Racist! https://www.thegatewaypundit.com/2020/01/wow-democrats-change-rules-to-allow-bloomberg-on-stage-for-debates-but-blocked-booker-and-castro-with-same-rule-sounds-racist/ … via @ gatewaypundit",@,
,0,Not sure why they think Bloomberg would be good for dems. He’s going to take moderate dem votes from other candidates and he won’t get progressive votes . Him being in the race would mean doom for dem candidacy,,
,0,@ maddow Just a thought. Bloomberg should buy Bolton's book now and put it online for everyone.,@,
,0,"If it comes down to Bernie Sanders and Bloomberg, two (essentially) non-democrats in the Democratic primary, it’s really going to say something about the Democratic Party.",,
,0,"DNC overhauls debate requirements, opening door for Bloomberg https://politi.co/2tYyCM4 via @ politico If any candidate has been omitted from any debate because of donations, this would be OUT of Order. Can't change rules. Wouldn't change for # ClimateDebate. # LoserDNC",@,# #
,0,Bloomberg's ads are SO pathetic....they'll make you vote for @ POTUShttps://twitter.com/mgrant76308/status/1223393696982405120 …,@,
,1,"it isn't just that democracy died today but also the death of the Democratic party. They've proved that they are not the party of the people by allowing Bloomberg to buy his way onto the debate stage. But hey, it's ok cuz he'll just make himself look like a fool on stage # NotMeUs",,#
,0,"It's terrible when your own party is plotting against you. The ""reversal "" was to keep things fair, when Hillary gave them $. Now Bloomberg gives them $ and they want to go back to the rule they changed because they thought it wasn't fair. It gave Hillary the advantage and now",,
,1,"DNC drops donor requirement for debates, opening door for Bloomberg - The DNC cavalierly changed the rules on Larry Lessig to keep him out of 2016 debates. This time, that want billionaire candidate Michael Bloomberg in the race. In order to... https://tmblr.co/ZT0RTd2nVH4LJ",,
,0,"Wait a minute @ DNC , now you do this? For Bloomberg? But not for, @ SenKamalaHarris @ SenBooker , @ AndrewYang . Boy, you guys suck more each day",@ @ @ @,
,0,Why will the nfl run Bloomberg’s commercial but won’t run a commercial that supports Americans civil rights? # AskFrelund,,#
,0,wake up - bloomberg bought off everyone including bernie - bloomberg will be the nominee,,
,0,"Yea no one is against capitalism, but there are other goals besides profit. It shouldn't be put above everything else particularly the basic needs of the average American education, housing and healthcare.",,
,0,https://twitter.com/CapitalismGood/status/1223393678686851074?s=19 …,,
,49,"Think of all the volunteers who spent the past year going door-to-door, phonebanking, hosting town halls & scraping by the neck to get more individual donors. The DNC shot that in the face today when they stripped grassroots debate requirements and let Bloomberg buy his way in.",,
,0,"yes, because Bloomberg has a lot more money and is already polling ahead of where they were.",,
,0,# Bloomberg buying the Democrats to dump @ BernieSandershttps://twitter.com/MrJones_tm/status/1223334337330012160 …,@,#
,0,"I criticized Booker and Castro for asking for rule chances. Now the DNC changed the rule for Bloomberg lol. ""They can change them for the white man but not for an AA and a Hispanic candidate.?"" @ TomPerez this was a big mistake.",@,
